Tier,Keyword,Volume,KD,Current Position,Est Traffic,Intent,Opportunity Score
A: low-KD high-vol (win now),invoice ocr software,880,10,69,0,commercial,44.0
C: high-vol head (long game),ar automation,1600,27,39,0,"commercial, informational",43.2
A: low-KD high-vol (win now),best accounts payable software 2026,390,0,72,0,commercial,39.0
C: high-vol head (long game),cash forecasting software,880,30,27,1,commercial,22.0
A: low-KD high-vol (win now),accounts payable ocr software,480,15,64,0,"commercial, informational",19.2
C: high-vol head (long game),days outstanding,880,50,88,0,"commercial, informational",14.7
C: high-vol head (long game),invoice ocr,590,36,87,0,"commercial, informational",12.8
C: high-vol head (long game),cash flow projection software,590,40,25,0,"commercial, informational",11.8
D: secondary,top accounts payable automation software,390,25,35,0,commercial,11.1
A: low-KD high-vol (win now),indirect vs direct method of cash flow,210,9,96,0,"commercial, informational",11.1
D: secondary,accounts receivable collections software,390,26,67,0,"commercial, informational",10.8
D: secondary,turnaround management association 13-week cash flow,140,3,20,0,"navigational, transactional",10.8
D: secondary,automated payables solutions,390,27,70,0,"commercial, informational",10.5
A: low-KD high-vol (win now),collections strategy,260,18,45,0,"commercial, informational",9.3
A: low-KD high-vol (win now),bill com competitors,210,15,47,0,"commercial, informational",8.4
D: secondary,top accounts payable software,170,13,33,0,commercial,7.4
B: ERP-specific (proven converter),best ap automation for netsuite,140,9,7,2,commercial,7.4
A: low-KD high-vol (win now),accounting software for accounts receivable,210,19,70,0,"commercial, informational",7.2
D: secondary,ap automation platform,320,37,86,0,"commercial, informational",6.8
D: secondary,bill com alternatives,140,12,30,0,"commercial, informational",6.4
D: secondary,cashflow software,260,32,78,0,commercial,6.2
D: secondary,dso accounting,320,44,63,0,"commercial, informational",5.9
D: secondary,account payable automation,390,57,65,0,"commercial, informational",5.8
D: secondary,accounts payable platform,260,37,64,0,commercial,5.5
B: ERP-specific (proven converter),netsuite ar,170,25,20,0,"informational, transactional",4.9
D: secondary,accounts receivable software for small business,170,27,71,0,"commercial, informational",4.6
D: secondary,ap processing systems,210,38,63,0,"commercial, informational",4.4
D: secondary,ap automation software for small business,170,29,50,0,"commercial, informational",4.4
D: secondary,best accounts receivable automation software,140,32,78,0,commercial,3.3
D: secondary,accounts payable automation platform,140,53,52,0,"commercial, informational",2.2
